Timestamp,x1,x2,x3,x4,x5,y1,y2,y3,y4,y5,rx,ry,r_yaw
1730821597265723136,5.29,-3.67,8.84,-1.37,5.83,-2.11,6.89,-0.75,3.33,0.22,5.334753403741201,-2.1028931377150766,1.4148492812170044
1730821597365678336,5.34,-3.74,8.91,-1.41,5.77,-2.13,6.85,-0.81,3.25,0.28,5.342711060284508,-2.0677939162566092,1.412815606419277
1730821597465833472,5.39,-3.82,8.99,-1.44,5.7,-2.15,6.81,-0.86,3.17,0.33,5.349598484243857,-2.043955973035367,1.407082680139286
1730821597565833216,5.46,-3.88,9.06,-1.45,5.63,-2.14,6.78,-0.92,3.15,0.37,5.356569165367948,-2.012178324916801,1.396304003105286
1730821597665778432,5.52,-3.95,9.13,-1.46,5.56,-2.12,6.75,-0.97,3.13,0.41,5.36738623490497,-1.9735225566037697,1.384235054134591
1730821597765826560,5.59,-4.01,9.2,-1.47,5.49,-2.11,6.72,-1.02,3.11,0.44,5.374398446706033,-1.942017097755111,1.3731304119177568
1730821597865767424,5.65,-4.08,9.27,-1.49,5.42,-2.1,6.68,-1.07,3.09,0.48,5.381685959737075,-1.9106175569696533,1.3638507975996714
1730821597965701376,5.72,-4.14,9.35,-1.5,5.34,-2.08,6.65,-1.12,3.07,0.51,5.388828811951782,-1.8876222382756893,1.3580256057613467
1730821598065804544,5.78,-4.21,9.42,-1.51,5.27,-2.07,6.62,-1.18,3.05,0.55,5.396035953908241,-1.8578969981020599,1.3481268875703616
1730821598165763328,5.85,-4.27,9.49,-1.52,5.2,-2.06,6.58,-1.23,3.03,0.58,5.406655279071742,-1.8229384403602658,1.3364242126330923
1730821598265772288,5.91,-4.34,9.56,-1.53,5.13,-2.04,6.55,-1.28,3.01,0.62,5.413797826952935,-1.7934786519254198,1.3279859325087484
1730821598365747456,5.97,-4.4,9.63,-1.54,5.06,-2.03,6.52,-1.33,2.99,0.66,5.420729956878903,-1.7732194034820208,1.3220235122818467
1730821598465720320,6.04,-4.47,9.7,-1.55,4.99,-2.01,6.49,-1.38,2.97,0.69,5.427846953522058,-1.7427921812434812,1.3134292393949396
1730821598565734400,6.09,-4.51,9.78,-1.56,4.9,-1.99,6.45,-1.45,2.97,0.69,5.439669939946689,-1.7020672700555601,1.3071950446035598
1730821598665687296,6.15,-4.56,9.86,-1.57,4.81,-1.97,6.42,-1.52,2.98,0.69,5.451014565662481,-1.6702033547092787,1.3042080877352353
1730821598765785344,6.21,-4.6,9.93,-1.58,4.72,-1.94,6.39,-1.58,2.98,0.69,5.460135313772838,-1.6360834341087207,1.3008718555590244
1730821598865751552,6.26,-4.65,10.01,-1.6,4.63,-1.92,6.35,-1.65,2.98,0.69,5.467948293956204,-1.6122680468311659,1.2987136609297967
1730821598965703424,6.32,-4.69,10.09,-1.61,4.54,-1.89,6.32,-1.71,2.98,0.69,5.476820170998218,-1.5799959397492747,1.295523540282266
1730821599065762560,6.37,-4.74,10.16,-1.62,4.44,-1.87,6.29,-1.78,2.98,0.69,5.489055792259347,-1.5397846395275332,1.2835996059667092
1730821599165600512,6.43,-4.79,10.24,-1.63,4.35,-1.84,6.25,-1.85,2.98,0.69,5.499553558063953,-1.50925134155167,1.26395527854319
1730821599265813248,6.48,-4.83,10.32,-1.64,4.26,-1.82,6.22,-1.91,2.98,0.69,5.505776700618885,-1.487143244006778,1.2469131389909416
1730821599365818368,6.54,-4.88,10.39,-1.65,4.17,-1.79,6.19,-1.98,2.99,0.69,5.515406286602241,-1.4614529145447226,1.2249749372806447
1730821599465828096,6.59,-4.92,10.47,-1.66,4.08,-1.77,6.16,-2.04,2.99,0.69,5.529042713191931,-1.428877694341094,1.1987597257047007
1730821599565606400,6.63,-4.96,10.53,-1.66,4.0,-1.78,6.12,-2.09,2.99,0.69,5.538004115358074,-1.3999148209583772,1.177313941436089
1730821599665712384,6.66,-5.0,10.58,-1.66,3.91,-1.79,6.08,-2.15,2.99,0.69,5.5503411837887775,-1.3763210098840255,1.1518000363915157
1730821599765723136,6.7,-5.04,10.64,-1.65,3.83,-1.8,6.04,-2.2,2.99,0.69,5.561321105093625,-1.3549178459951845,1.1331297111988452
1730821599865760256,6.74,-5.09,10.69,-1.65,3.74,-1.81,6.0,-2.25,2.99,0.69,5.576362367000057,-1.3190351458749965,1.1016869189341616
1730821599965774336,6.77,-5.13,10.74,-1.65,3.66,-1.82,5.96,-2.3,2.99,0.69,5.5895070411479555,-1.2909737371706833,1.0764591094064433
1730821600065844224,6.81,-5.17,10.8,-1.64,3.57,-1.83,5.93,-2.36,2.99,0.69,5.599461003586603,-1.2707047918415424,1.0590451459710304
1730821600165717248,6.84,-5.21,10.85,-1.64,3.49,-1.84,5.89,-2.41,3.0,0.69,5.615375298964656,-1.2432505447304973,1.0346309472159576
1730821600265753344,6.88,-5.25,10.91,-1.64,3.4,-1.86,5.85,-2.46,3.0,0.69,5.630934723560139,-1.217103988313132,1.0110678895291856
1730821600365637632,6.92,-5.29,10.96,-1.64,3.32,-1.87,5.81,-2.51,3.0,0.69,5.651085915343881,-1.1843339806458428,0.9819942378217175
1730821600465715456,6.95,-5.33,11.02,-1.63,3.23,-1.88,5.77,-2.56,3.0,0.69,5.668573663673582,-1.1599434787169431,0.9575030966203288
1730821600565787392,6.98,-5.35,11.02,-1.64,3.16,-1.88,5.74,-2.64,3.0,0.7,5.682149422271551,-1.143277727318408,0.9435009005176348
1730821600665858560,7.0,-5.36,11.02,-1.64,3.09,-1.88,5.71,-2.71,3.0,0.71,5.7022220477929135,-1.119737580469994,0.9343007153516851
1730821600765765376,7.03,-5.38,11.03,-1.64,3.02,-1.89,5.67,-2.78,3.0,0.72,5.7229973800251965,-1.0989806709753855,0.9361938002848493
1730821600865756416,7.06,-5.4,11.03,-1.64,2.95,-1.89,5.64,-2.85,3.0,0.72,5.74985589629159,-1.070478384716142,0.9391258026232889
1730821600965722368,7.08,-5.41,11.03,-1.65,2.88,-1.89,5.61,-2.92,3.0,0.73,5.7657621850878975,-1.0549812964320266,0.9417597518347173
1730821601065742336,7.11,-5.43,11.04,-1.65,2.8,-1.89,5.57,-2.99,3.0,0.74,5.78569929328828,-1.031497325544942,0.9433659579533499
1730821601165779456,7.14,-5.45,11.04,-1.65,2.73,-1.9,5.54,-3.06,3.0,0.75,5.806047043320812,-1.0050237884256097,0.9430425305381058
1730821601265710336,7.16,-5.46,11.04,-1.66,2.66,-1.9,5.51,-3.13,3.0,0.76,5.827804614688044,-0.9790375873452306,0.9443273121310675
1730821601365727488,7.19,-5.48,11.04,-1.66,2.59,-1.9,5.48,-3.21,3.0,0.77,5.8524146368553875,-0.9478455422810149,0.9424689839136345
1730821601465716480,7.22,-5.5,11.05,-1.66,2.52,-1.9,5.44,-3.28,3.0,0.77,5.869743991206548,-0.9283387272574335,0.9316524395337286
1730821601565756416,7.21,-5.5,11.02,-1.65,2.5,-1.93,5.41,-3.34,3.0,0.77,5.889874969592469,-0.9027428066044109,0.9035327610145962
1730821601665687296,7.21,-5.5,11.0,-1.64,2.47,-1.95,5.38,-3.41,2.99,0.77,5.910596390825772,-0.8783090844321465,0.8741414300417514
1730821601765858304,7.2,-5.5,10.98,-1.63,2.45,-1.97,5.34,-3.47,2.99,0.77,5.936543654475788,-0.8478999892732642,0.8406612851094092
1730821601865737472,7.2,-5.5,10.96,-1.62,2.43,-1.99,5.31,-3.54,2.99,0.77,5.955948445121768,-0.8246672008235878,0.815869872029853
1730821601965677568,7.19,-5.5,10.94,-1.61,2.41,-2.01,5.28,-3.61,2.99,0.77,5.975096191821299,-0.8073329185357507,0.7962423481585331
1730821602065657344,7.19,-5.5,10.91,-1.6,2.39,-2.04,5.24,-3.67,2.98,0.77,5.994949346138721,-0.7868020001502471,0.7713038625066772
1730821602165671424,7.18,-5.5,10.89,-1.58,2.36,-2.06,5.21,-3.74,2.98,0.77,6.017276944194086,-0.7670435324891653,0.7467322206673596
1730821602265752320,7.18,-5.5,10.87,-1.57,2.34,-2.08,5.18,-3.8,2.98,0.77,6.047401286000918,-0.744351165764892,0.7151016736990189
1730821602365851392,7.17,-5.5,10.85,-1.56,2.32,-2.1,5.15,-3.87,2.98,0.77,6.064807944758428,-0.7302797351038017,0.6964574629633687
1730821602465773568,7.17,-5.5,10.83,-1.55,2.3,-2.12,5.11,-3.94,2.97,0.77,6.087597208686251,-0.714567469207608,0.6719509299298596
1730821602565761536,7.15,-5.5,10.81,-1.53,2.3,-2.11,5.09,-4.01,2.97,0.77,6.119620859735063,-0.6936226537041477,0.6403526676023056
1730821602665725440,7.14,-5.5,10.79,-1.5,2.31,-2.1,5.06,-4.08,2.97,0.77,6.143775069880549,-0.6769573293055484,0.6152184683828748
1730821602765612288,7.12,-5.5,10.78,-1.48,2.32,-2.09,5.03,-4.16,2.97,0.77,6.165357463136437,-0.6647136196026644,0.5949911861901397
1730821602865590272,7.11,-5.5,10.76,-1.45,2.32,-2.08,5.0,-4.23,2.97,0.77,6.190872089836778,-0.6489061760844459,0.5695895896394186
1730821602965637376,7.1,-5.5,10.74,-1.43,2.33,-2.07,4.98,-4.31,2.97,0.77,6.217201405387327,-0.6357592026057701,0.5443564000477348
1730821603065761536,7.08,-5.5,10.73,-1.4,2.33,-2.06,4.95,-4.38,2.96,0.77,6.242239293153727,-0.6228974393844462,0.5212402217867547
1730821603165743616,7.07,-5.5,10.71,-1.38,2.34,-2.05,4.92,-4.45,2.96,0.77,6.279317689854878,-0.6065442480853731,0.516829843937348
1730821603265718528,7.05,-5.5,10.7,-1.35,2.34,-2.04,4.89,-4.53,2.96,0.77,6.3106592165284425,-0.594196382902203,0.5194137111517568
1730821603365721344,7.04,-5.5,10.68,-1.33,2.35,-2.03,4.87,-4.6,2.96,0.77,6.331529157263557,-0.5841415348303536,0.5231299119424944
1730821603465710336,7.02,-5.5,10.66,-1.3,2.35,-2.01,4.84,-4.68,2.96,0.77,6.361109003356296,-0.5708944146623387,0.5273834664716031
1730821603565681408,7.03,-5.49,10.65,-1.3,2.35,-2.02,4.86,-4.75,2.96,0.77,6.390915524017906,-0.557514089711749,0.5301127682998175
1730821603665693440,7.03,-5.49,10.65,-1.29,2.35,-2.03,4.88,-4.81,2.96,0.77,6.42646439060268,-0.539740417316763,0.53213961453217
1730821603765687552,7.04,-5.48,10.64,-1.28,2.35,-2.03,4.9,-4.88,2.96,0.77,6.45768770521472,-0.525688227613359,0.5339723638330799
1730821603865909248,7.04,-5.48,10.63,-1.27,2.35,-2.04,4.92,-4.95,2.95,0.77,6.478103974131528,-0.5132387561934182,0.5354436817977917
1730821603965781504,7.05,-5.47,10.62,-1.26,2.35,-2.04,4.93,-5.02,2.95,0.77,6.509721593312667,-0.4975056003895304,0.5367278101807482
1730821604065830400,7.05,-5.47,10.61,-1.25,2.35,-2.05,4.95,-5.09,2.95,0.77,6.541556232599396,-0.48431279293696683,0.5369383056760875
1730821604165752320,7.06,-5.46,10.6,-1.25,2.35,-2.05,4.97,-5.16,2.95,0.77,6.57152859377312,-0.46950777421772516,0.5376181204062193
1730821604265827328,7.06,-5.46,10.6,-1.24,2.35,-2.06,4.99,-5.23,2.95,0.77,6.6002380809582935,-0.4544449505918622,0.5369338152022491
1730821604365729280,7.07,-5.46,10.59,-1.23,2.35,-2.06,5.01,-5.29,2.95,0.77,6.629041844935227,-0.4383646624726232,0.5372322683734837
1730821604465743360,7.07,-5.45,10.58,-1.22,2.35,-2.07,5.03,-5.36,2.95,0.77,6.6661870383383,-0.4207314957120738,0.5379188634009683
1730821604565718528,7.07,-5.45,10.58,-1.22,2.35,-2.08,5.02,-5.39,2.95,0.77,6.695107941543798,-0.40439671470865735,0.5383344874189533
1730821604665746432,7.07,-5.45,10.58,-1.22,2.35,-2.1,5.01,-5.42,2.95,0.77,6.715641803458155,-0.3932859187176727,0.5375208541073336
1730821604765762304,7.06,-5.45,10.58,-1.22,2.35,-2.11,5.01,-5.45,2.95,0.77,6.7466486650368065,-0.3780970935030026,0.5388449700370369
1730821604865763328,7.06,-5.46,10.58,-1.22,2.34,-2.12,5.0,-5.48,2.95,0.77,6.774260164478029,-0.3625386158353745,0.53855673147374
1730821604965866496,7.06,-5.46,10.58,-1.22,2.34,-2.14,4.99,-5.51,2.95,0.77,6.812922951932727,-0.34305729486794734,0.5383344767571473
1730821605065842432,7.06,-5.46,10.58,-1.22,2.34,-2.15,4.98,-5.54,2.95,0.77,6.8418160974790165,-0.32805763317163716,0.5391003099849975
